Rank,Name,Team,Cl,Height,Position,G,ST,STPG
-,Jomaru Brown,Coastal Carolina,Sr.,6-2,G,24,39,1.62
129,Jarred Godfrey,Purdue Fort Wayne,Sr.,6-5,G,31,50,1.61
-,Donovan Gregory,App State,Sr.,6-5,F,31,50,1.61
131,Darius McGhee,Liberty,Sr.,5-9,G,36,58,1.61
-,Marcus Sasser,Houston,Sr.,6-2,G,36,58,1.61
133,Nico Galette,Sacred Heart,Jr.,6-6,F,33,53,1.61
-,Teafale Lenard,Middle Tenn.,So.,6-7,G,33,53,1.61
135,Damien Daniels,Abilene Christian,Sr.,5-7,G,30,48,1.6
136,Dylan Addae-Wusu,St. John's (NY),Jr.,6-4,G,32,51,1.59
-,Justin Bailey,USC Upstate,Fr.,6-3,G,32,51,1.59
-,De'Vion Harmon,Texas Tech,Sr.,6-2,G,32,51,1.59
-,Dillon Jones,Weber St.,So.,6-6,F,32,51,1.59
140,Yaakema Rose,Eastern Ill.,Sr.,5-9,G,27,43,1.59
141,Phillip Russell,Southeast Mo. St.,So.,5-10,G,34,54,1.59
142,Gerrale Gates,Holy Cross,Sr.,6-6,F,31,49,1.58
143,Logan Johnson,Saint Mary's (CA),Sr.,6-2,G,35,55,1.57
-,Ryan Larson,Col. of Charleston,Sr.,6-1,G,35,55,1.57
-,Greg Dolan,Cornell,Sr.,6-3,G,28,44,1.57
146,Chase Adams,Jackson St.,Jr.,5-8,G,32,50,1.56
-,Khalil Brantley,La Salle,So.,6-1,G,32,50,1.56
-,Elijah Harkless,UNLV,Sr.,6-3,G,32,50,1.56
-,Takal Molson,James Madison,Sr.,6-5,G,32,50,1.56
-,Messiah Thompson,Alabama A&M,Jr.,5-8,G,32,50,1.56
151,Trenton Massner,Western Ill.,Sr.,6-3,G,29,45,1.55
-,Marcus Shaver Jr.,Boise St.,Sr.,6-2,G,29,45,1.55
153,Kenan Blackshear,Nevada,Sr.,6-6,G,33,51,1.55
-,Isaac Haney,Northwestern St.,So.,6-2,G,33,51,1.55
-,Ryan Moffatt,Colgate,Sr.,6-6,F,33,51,1.55
-,Deon Perry,Loyola Maryland,Fr.,5-8,G,33,51,1.55
157,Nick Honor,Missouri,Sr.,5-10,G,35,54,1.54
158,Jaime Jaquez Jr.,UCLA,Sr.,6-7,G,37,57,1.54
159,Jr. Clay,Tennessee St.,Jr.,6-0,G,30,46,1.53
-,Mekhi Long,Old Dominion,Jr.,6-7,G,30,46,1.53
-,Paul Mulcahy,Rutgers,Sr.,6-6,G,30,46,1.53
162,AJ Cajuste,SFA,Jr.,-,,32,49,1.53
-,Ja'Kobi Gillespie,Belmont,Fr.,6-0,G,32,49,1.53
-,Zach Scott,McNeese,Sr.,6-4,G,32,49,1.53
-,JaCobi Wood,Murray St.,Jr.,6-2,G,32,49,1.53
166,Russell Jones Jr.,Western Caro.,Jr.,5-8,G,34,52,1.53
167,Jalen Slawson,Furman,Sr.,6-7,F,36,55,1.53
168,Japhet Medor,UTSA,Sr.,5-11,G,29,44,1.52
-,Terry Roberts,Georgia,Sr.,6-3,G,29,44,1.52
170,Aaron Estrada,Hofstra,Sr.,6-3,G,31,47,1.52
-,Shykeim Phillips,UNCW,Sr.,6-2,G,31,47,1.52
-,"Nathaniel Pollard, Jr.",UMES,Sr.,6-5,F,31,47,1.52
-,Craig Porter Jr.,Wichita St.,Sr.,6-2,G,31,47,1.52
174,Xavier Johnson,Southern Ill.,Sr.,6-1,G,33,50,1.52
175,Jaquan Carlos,Hofstra,So.,6-0,G,35,53,1.51
176,Johnell Davis,Fla. Atlantic,So.,6-3,G,37,56,1.51
177,Nick Edwards,Valparaiso,Sr.,6-1,G,32,48,1.5
-,Aquan Smart,Southeast Mo. St.,So.,6-3,G,32,48,1.5
-,Camren Hunter,Central Ark.,So.,6-3,G,30,45,1.5
-,Martaz Robinson,Delaware St.,Jr.,6-2,G,30,45,1.5
-,Latrell Wrightsell Jr.,Cal St. Fullerton,Jr.,6-3,G,30,45,1.5
182,RayJ Dennis,Toledo,Jr.,6-2,G,35,52,1.49
-,Chucky Hepburn,Wisconsin,So.,6-2,G,35,52,1.49
