Rank,Name,Team,Cl,Height,Position,G,3FG,3FGA
-,Terry Collins,Mississippi Val.,Sr.,6-3,G,32,80,233
-,LJ Cryer,Baylor,Jr.,6-1,G,31,80,193
-,Adam Flagler,Baylor,Sr.,6-3,G,32,80,200
-,Zach Hicks,Temple,So.,6-7,F,32,80,225
-,Antonio Reeves,Kentucky,Sr.,6-6,G,34,80,201
-,Ben Sheppard,Belmont,Sr.,6-6,G,32,80,193
-,Grant Singleton,FDU,Sr.,5-9,G,36,80,210
-,DaQuan Smith,Radford,Jr.,6-1,G,36,80,198
-,Julian Strawther,Gonzaga,Jr.,6-7,G,37,80,196
-,Keaston Willis,Louisiana Tech,Jr.,6-3,G,32,80,213
104,Daryl Banks III,St. Bonaventure,Jr.,6-3,G,32,79,232
-,Tahlik Chavez,Charleston So.,Jr.,6-2,G,31,79,225
-,Gerald Drumgoole Jr.,UAlbany,Sr.,6-5,F,31,79,230
-,Travis Evee,Rice,Jr.,6-1,G,35,79,227
-,Jarod Lucas,Nevada,Sr.,6-4,G,33,79,209
-,RayQuawndis Mitchell,Kansas City,Sr.,6-5,G,32,79,259
-,Josh Nickelberry,La Salle,Sr.,6-4,G,34,79,197
-,Wade Taylor IV,Texas A&M,So.,6-0,G,35,79,222
112,Souley Boum,Xavier,Sr.,6-3,G,37,78,193
-,Hunter Cattoor,Virginia Tech,Sr.,6-3,G,30,78,184
-,Al-Amir Dawes,Seton Hall,Sr.,6-2,G,33,78,204
-,Ithiel Horton,UCF,Sr.,6-5,G,34,78,224
-,Jett Howard,Michigan,Fr.,6-8,G,29,78,212
-,Chase Johnston,FGCU,Jr.,6-3,G,31,78,209
-,Oliver Lynch-Daniels,Colgate,Sr.,6-2,G,32,78,157
-,Casey Morsell,NC State,Sr.,6-3,G,34,78,190
-,Justin Powell,Washington St.,Jr.,6-6,G,34,78,183
-,Erik Stevenson,West Virginia,Sr.,6-4,G,34,78,206
-,Steele Venters,Eastern Wash.,So.,6-7,F,34,78,210
123,Tyree Appleby,Wake Forest,Sr.,6-0,G,33,77,214
-,Khalif Battle,Temple,So.,6-5,G,27,77,220
-,Jordan Dingle,Penn,Jr.,6-3,G,28,77,216
-,Greg Elliott,Pittsburgh,Sr.,6-3,G,36,77,185
-,Keyonte George,Baylor,Fr.,6-4,G,33,77,228
-,Joey Hauser,Michigan St.,Sr.,6-9,F,34,77,167
-,Dalton Knecht,Northern Colo.,Sr.,6-6,G,32,77,202
-,Kino Lilly Jr.,Brown,So.,6-0,G,27,77,193
-,Bobby Planutis,Purdue Fort Wayne,Sr.,6-8,F,32,77,196
-,Brandon Rush,Youngstown St.,Jr.,6-3,G,34,77,203
133,Emoni Bates,Eastern Mich.,So.,6-10,G,30,76,230
-,Dedric Boyd,Tennessee St.,Sr.,6-4,G,30,76,193
-,Gabe Dorsey,William & Mary,So.,6-6,G,25,76,171
-,Wheza Panzo,Stetson,Sr.,6-7,F,31,76,162
-,Ty Perry,Tennessee Tech,Sr.,6-2,G,33,76,200
-,Skyelar Potter,Jacksonville St.,Sr.,6-3,G,31,76,203
139,Ansley Almonor,FDU,So.,6-6,F,36,75,197
-,Caleb Daniels,Villanova,Sr.,6-4,G,34,75,226
-,Michael Dunne,Hartford,Sr.,6-4,G,28,75,230
-,Trendon Hankerson,Akron,Sr.,6-2,G,33,75,195
-,Jake Heidbreder,Air Force,So.,6-5,G,32,75,188
-,Curtis Jones,Buffalo,So.,6-5,G,31,75,209
-,Toneari Lane,Winthrop,So.,6-5,G,32,75,197
-,Adam Miller,LSU,So.,6-3,G,33,75,237
-,Owen White,South Alabama,Sr.,6-6,G,35,75,186
-,Moses Wood,Portland,Jr.,6-8,F,29,75,186
149,Brendan Adams,George Washington,Sr.,6-4,G,32,74,195
-,BJ Freeman,Milwaukee,So.,6-6,G,32,74,220
-,Will Johnston,UTRGV,So.,6-3,G,31,74,169
-,Aidan Mahaney,Saint Mary's (CA),Fr.,6-3,G,35,74,185
-,Leo O'Boyle,Lafayette,Sr.,6-7,F,33,74,182
-,Deon Perry,Loyola Maryland,Fr.,5-8,G,33,74,177
-,Jose Placer,North Florida,Jr.,6-2,G,31,74,202
-,Max Rice,Boise St.,Sr.,6-5,G,34,74,181
-,Myles Stute,Vanderbilt,Jr.,6-7,F,34,74,205
-,Ray'Sean Taylor,SIUE,So.,6-1,G,32,74,207
159,Angelo Allegri,Eastern Wash.,Sr.,6-7,F,34,73,195
-,Jaylin Hunter,Ohio,Jr.,5-11,G,33,73,179
-,Gedi Juozapaitis,Maine,Sr.,6-4,G,30,73,183
-,Gabe Kalscheur,Iowa St.,Sr.,6-4,G,33,73,206
-,Dakota Leffew,Mount St. Mary's,Jr.,6-5,G,31,73,192
-,Caleb Love,North Carolina,Jr.,6-4,G,33,73,244
-,Alijah Martin,Fla. Atlantic,So.,6-0,G,36,73,196
-,Sin'Cere McMahon,Winthrop,Jr.,6-1,G,32,73,196
-,Mike Mitchell Jr.,Pepperdine,So.,6-2,G,31,73,166
-,David Singleton,UCLA,Sr.,6-4,G,37,73,172
169,Coleton Benson,Army West Point,Fr.,6-1,G,33,72,194
-,Walter Clayton Jr.,Iona,So.,6-2,G,32,72,167
-,Jeremiah Davenport,Cincinnati,Sr.,6-7,G,36,72,218
-,Carter Hendricksen,North Florida,Sr.,6-7,F,31,72,186
-,DJ Horne,Arizona St.,Jr.,6-1,G,35,72,203
-,Matt Johnson II,Northern Colo.,Sr.,6-2,G,32,72,203
-,Spencer Jones,Stanford,Sr.,6-7,F,32,72,185
-,Noah Locke,Providence,Sr.,6-3,G,33,72,187
-,Foster Loyer,Davidson,Sr.,6-0,G,31,72,215
-,Alec Rosner,Western Ill.,Sr.,6-3,G,30,72,194
-,Cam Spencer,Rutgers,Sr.,6-4,G,34,72,166
-,Latrell Wrightsell Jr.,Cal St. Fullerton,Jr.,6-3,G,30,72,188
181,Jalen Blackmon,Stetson,So.,6-3,G,31,71,211
-,Jarred Godfrey,Purdue Fort Wayne,Sr.,6-5,G,31,71,210
-,Kyle Rode,Liberty,Sr.,6-7,F,36,71,178
-,Geronimo Rubio De La Rosa,Columbia,So.,6-2,G,29,71,192
-,Abdoulaye Thiam,High Point,So.,6-4,G,31,71,201
-,Elijah Weaver,Chicago St.,Sr.,6-6,G,30,71,195
187,Austin Crowley,Southern Miss.,Jr.,6-5,G,33,70,195
-,Duke Deen,Bradley,Jr.,5-8,G,35,70,195
-,Aaron Estrada,Hofstra,Sr.,6-3,G,31,70,190
-,Jordan Gainey,USC Upstate,So.,6-4,G,32,70,203
-,Meechie Johnson,South Carolina,So.,6-2,G,30,70,214
-,Lance Jones,Southern Ill.,Sr.,6-1,G,33,70,250
-,Latrell Jossell,SFA,Jr.,5-11,G,28,70,166
-,Aanen Moody,Montana,Sr.,6-3,G,27,70,172
-,Donte Powers,Sam Houston,Sr.,6-2,G,34,70,173
-,Darius Quisenberry,Fordham,Sr.,6-2,G,32,70,222
-,D.J. Wilkins,Drake,Sr.,6-2,G,35,70,189
-,Jalen Wilson,Kansas,Jr.,6-8,F,36,70,208
199,Le'Tre Darthard,Utah Valley,Jr.,6-4,G,37,69,194
-,Connor Essegian,Wisconsin,Fr.,6-4,G,35,69,192
-,Jordan King,ETSU,Sr.,6-0,G,32,69,219
-,Maks Klanjscek,Houston Christian,Jr.,6-5,G,32,69,196
-,Marko Maletic,LIU,So.,6-6,G,24,69,178
-,Xander Rice,Bucknell,Sr.,6-3,G,32,69,189
-,Zach Scott,McNeese,Sr.,6-4,G,32,69,208
-,Mark Sears,Alabama,Jr.,6-1,G,37,69,200
-,John-Michael Wright,Oklahoma St.,Sr.,6-1,G,36,69,203
208,Luke Avdalovic,Pacific,Sr.,6-4,G,33,68,133
-,Nick Boyd,Fla. Atlantic,So.,6-3,G,38,68,170
-,Joe Bryant,Norfolk St.,Sr.,6-1,G,32,68,184
-,Jarron Coleman,Ball St.,Sr.,6-5,G,30,68,193
-,Marcus Dockery,Howard,So.,6-2,G,31,68,155
-,Quinton Green,Valparaiso,Sr.,6-7,G,31,68,204
-,Chucky Hepburn,Wisconsin,So.,6-2,G,35,68,168
-,Adam Kunkel,Xavier,Sr.,6-4,G,35,68,160
-,Blake Lampman,Oakland,Jr.,6-3,G,28,68,216
-,Braden Norris,Loyola Chicago,Sr.,6-0,G,31,68,190
-,JP Pegues,Furman,So.,6-1,G,36,68,198
-,Elijah Pepper,UC Davis,Jr.,6-4,G,31,68,211
-,Andrew Platek,Siena,Sr.,6-4,G,32,68,157
-,Miryne Thomas,Kent St.,Sr.,6-8,F,35,68,195
-,Brion Whitley,Southern U.,Jr.,6-4,G,32,68,208
-,Desmond Williams,UT Martin,Jr.,6-1,G,32,68,208
224,Chase Audige,Northwestern,Sr.,6-4,G,34,67,206
-,Chris Greene,Ark.-Pine Bluff,Sr.,6-8,F,29,67,191
-,Kamaka Hepa,Hawaii,Sr.,6-10,F,33,67,173
-,Demetric Horton,N.C. A&T,Sr.,6-5,G,32,67,152
-,David Joplin,Marquette,So.,6-7,F,36,67,168
