OVR,Rank_APG,Rank_3PG,Name,Team,Cl,Height,Position,G,AST,APG,3FG,3PG,DRFT PROJ,DRFT RNK
85.1,250,131,Elijah Weaver,Chicago St.,Sr.,6-6,G,30,101,3.4,71,2.37,N/A,N/A
87.9,253,19,Tyler Harris,South Fla.,Sr.,5-9,G,32,107,3.3,97,3.03,N/A,N/A
83.9,253,172,Matt Johnson II,Northern Colo.,Sr.,6-2,G,32,107,3.3,72,2.25,N/A,N/A
84.4,268,138,Baylor Scheierman,Creighton,Jr.,6-7,G,37,122,3.3,87,2.35,N/A,N/A
87.6,275,10,Demaree King,Jacksonville St.,Sr.,6-0,G,31,101,3.3,103,3.32,N/A,N/A
86.3,275,58,Kam Woods,N.C. A&T,So.,6-2,G,31,101,3.3,83,2.68,N/A,N/A
85.7,278,78,Grant Sherfield,Oklahoma,Sr.,6-2,G,32,104,3.2,82,2.56,N/A,N/A
81.9,280,222,Paxson Wojcik,Brown,Sr.,6-4,G,27,87,3.2,57,2.11,N/A,N/A
83.2,282,172,Walter Clayton Jr.,Iona,So.,6-2,G,32,103,3.2,72,2.25,N/A,N/A
85.6,282,78,Isaiah Thompson,FGCU,Sr.,6-1,G,32,103,3.2,82,2.56,N/A,N/A
79.7,286,301,RJ Davis,North Carolina,Jr.,6-0,G,33,106,3.2,63,1.91,N/A,N/A
82.3,295,192,Darius Quisenberry,Fordham,Sr.,6-2,G,32,102,3.2,70,2.19,N/A,N/A
79.8,295,290,Messiah Thompson,Alabama A&M,Jr.,5-8,G,32,102,3.2,62,1.94,N/A,N/A
85.5,301,63,Jarius Hicklen,North Florida,Jr.,6-3,G,31,98,3.2,82,2.65,N/A,N/A
78.4,303,337,Tony Felder,VMI,Fr.,5-10,G,32,101,3.2,59,1.84,N/A,N/A
78.4,306,333,Felipe Haase,Southern Miss.,Sr.,6-9,F,33,104,3.2,61,1.85,N/A,N/A
85.9,309,39,Lamar Norman Jr.,Western Mich.,Sr.,6-1,G,30,94,3.1,85,2.83,N/A,N/A
81.6,313,203,Jordan King,ETSU,Sr.,6-0,G,32,100,3.1,69,2.16,N/A,N/A
81.3,316,212,Jamari Blackmon,ULM,Sr.,6-0,G,31,96,3.1,66,2.13,N/A,N/A
84.3,324,89,Boogie Ellis,Southern California,Sr.,6-3,G,33,102,3.1,83,2.52,N/A,N/A
85.3,324,48,Santiago Vescovi,Tennessee,Sr.,6-3,G,33,102,3.1,91,2.76,N/A,N/A
80.8,327,220,Cam Spencer,Rutgers,Sr.,6-4,G,34,105,3.1,72,2.12,N/A,N/A
84.9,328,60,Marcus Sasser,Houston,Sr.,6-2,G,36,111,3.1,96,2.67,N/A,N/A
80.8,333,213,Joe Bryant,Norfolk St.,Sr.,6-1,G,32,98,3.1,68,2.12,N/A,N/A
78.8,341,280,Adam Kunkel,Xavier,Sr.,6-4,G,35,105,3.0,68,1.94,N/A,N/A
85.8,341,13,Kamdyn Curfman,Marshall,Jr.,6-0,G,32,96,3.0,103,3.22,N/A,N/A
82.3,341,148,Ray'Sean Taylor,SIUE,So.,6-1,G,32,96,3.0,74,2.31,N/A,N/A
83.1,341,118,Curtis Jones,Buffalo,So.,6-5,G,31,93,3.0,75,2.42,N/A,N/A
