OVR,Rank_APG,Rank_3PG,Name,Team,Cl,Height,Position,G,AST,APG,3FG,3PG,DRFT PROJ,DRFT RNK
86.1,3,162,Sesan Russell,Florida Tech,Sr.,6-1,G,26,180,6.9,57,2.19,N/A,N/A
91.1,5,67,Michael Brown,Mount Olive,Sr.,5-10,G,31,207,6.7,80,2.58,N/A,N/A
88.9,31,82,Justin Miller,Malone,Sr.,6-2,G,29,146,5.0,73,2.52,N/A,N/A
85.4,32,146,Max Weisbrod,Northern Mich.,Fr.,6-4,G,33,166,5.0,74,2.24,N/A,N/A
87.5,46,93,Darren Williams,Hawaii Hilo,Sr.,5-8,G,26,114,4.4,64,2.46,N/A,N/A
79.3,51,243,Tionne Rollins,Francis Marion,Sr.,6-2,G,26,112,4.3,51,1.96,N/A,N/A
82.8,57,170,Jadan Graves,Augustana (SD),Jr.,6-2,G,29,122,4.2,63,2.17,N/A,N/A
87.3,59,84,Miles Tention,St. Anselm,Sr.,6-5,G,30,126,4.2,75,2.5,N/A,N/A
91.4,63,2,Jadin Booth,Fla. Southern,So.,6-2,G,27,112,4.1,93,3.44,N/A,N/A
90.5,65,18,Jordan Turbo Smith,Glenville St.,Jr.,6-1,G,30,124,4.1,91,3.03,N/A,N/A
88.2,68,58,Will Lee,Palm Beach Atl.,Jr.,5-11,G,27,110,4.1,72,2.67,N/A,N/A
82.5,68,165,Stevie Strong,Newman,So.,6-1,G,27,110,4.1,59,2.19,N/A,N/A
85.3,71,110,Travis Anderson,AUM,Jr.,6-0,G,25,101,4.0,59,2.36,N/A,N/A
85.1,74,111,Beyuan Hendricks,Lee,Sr.,6-4,G,28,112,4.0,66,2.36,N/A,N/A
90.5,74,8,Malik Willingham,Minnesota St.,Jr.,6-3,G,26,104,4.0,85,3.27,N/A,N/A
90.4,80,4,Brandon Knapper,Cal St. San B'dino,Sr.,6-0,G,33,130,3.9,113,3.42,N/A,N/A
79.7,93,192,Mason Landdeck,Hawaii Pacific,So.,6-2,G,27,103,3.8,57,2.11,N/A,N/A
81.4,96,158,Jon'il Fugett,UC-Colo. Springs,Sr.,6-0,G,29,110,3.8,64,2.21,N/A,N/A
88.3,98,27,PJay Smith,Lee,So.,6-0,G,28,106,3.8,82,2.93,N/A,N/A
82.4,104,131,Bradley Dean,UVA Wise,So.,6-2,G,30,112,3.7,69,2.3,N/A,N/A
75.8,109,250,Mohamed Kone,Bemidji St.,Sr.,6-3,G,31,114,3.7,60,1.94,N/A,N/A
78.6,111,195,Christian Montague,West Liberty,Jr.,6-1,G,37,135,3.6,78,2.11,N/A,N/A
76.9,124,214,Nicholas Lang,Mercyhurst,Sr.,6-1,G,31,109,3.5,63,2.03,N/A,N/A
83.1,131,90,Mikell Cooper,Purdue Northwest,Sr.,6-0,G,31,108,3.5,77,2.48,N/A,N/A
78.3,136,177,Sean Dillon,Seton Hill,Jr.,5-10,G,27,93,3.4,58,2.15,N/A,N/A
75.9,142,215,Kelvin Jones,Emmanuel (GA),Jr.,6-6,G,29,99,3.4,58,2.0,N/A,N/A
82.1,146,95,LaQuan Butler Jr.,Ouachita Baptist,Sr.,6-0,G,27,92,3.4,66,2.44,N/A,N/A
84.6,149,45,Kamden Gipson,Southwestern Okla.,Sr.,5-11,G,28,95,3.4,78,2.79,N/A,N/A
77.8,162,160,Malik Stanley,Barry,So.,6-0,G,25,83,3.3,55,2.2,N/A,N/A
74.2,175,215,LaTrell Tate,West Florida,Jr.,6-0,G,28,90,3.2,56,2.0,N/A,N/A
73.0,180,232,Avery Taggart,Mo. Southern St.,So.,6-5,G,30,96,3.2,59,1.97,N/A,N/A
75.2,190,181,Marcus Scott,Central St. (OH),Sr.,5-9,G,28,88,3.1,60,2.14,N/A,N/A
81.4,193,60,Dave Morris,Indiana (PA),Sr.,6-1,G,34,106,3.1,90,2.65,N/A,N/A
71.7,198,238,Tylandrius Parks,Union (TN),Sr.,6-4,G,28,87,3.1,55,1.96,N/A,N/A
81.5,204,48,Mason Alexander,William Jewell,Sr.,5-10,G,29,90,3.1,79,2.72,N/A,N/A
74.0,211,181,D'Angelo Minnis,Western Wash.,Jr.,5-10,G,28,86,3.1,60,2.14,N/A,N/A
75.2,223,147,Isaiah Salter,Le Moyne,Sr.,6-0,G,29,88,3.0,65,2.24,N/A,N/A
70.5,226,232,Ethan Heller,Concord,Sr.,6-0,G,30,91,3.0,59,1.97,N/A,N/A
78.0,226,92,Sean James,Southern Conn. St.,So.,6-2,G,30,91,3.0,74,2.47,N/A,N/A
71.3,229,215,Rowan Mackenzie,Lubbock Christian,Jr.,6-3,G,31,94,3.0,62,2.0,N/A,N/A
71.8,231,204,Aiden Ruthsatz,Christian Brothers,Sr.,5-9,G,27,81,3.0,56,2.07,N/A,N/A
73.2,231,177,Jett Sternberger,Southeastern Okla.,Jr.,6-1,G,27,81,3.0,58,2.15,N/A,N/A
70.6,242,215,Tyler Arbuckle,St. Anselm,Sr.,6-3,G,30,89,3.0,60,2.0,N/A,N/A
70.9,244,207,Mohamed Traore,Franklin Pierce,So.,6-2,G,29,86,3.0,60,2.07,N/A,N/A
